EPO and the placebo effect,unbrainwashed,0
Conner Mantz just killed a 3k,hobby jogger1,0
What % of the US population actually supports letting transwomen kick biowoman azz in sports?,"Man, I Feel Like a Woman!",0
Tempo's for 3K-5K focus,midD,0
Biden announces 1st day order of business. Allow biological males in women's sports,ocin3125,0
Official LRC President Donald J Trump Thread,Quality posters only,1
What kind of dog should my wife and I get? ?,Jack jack jack,1
OMG-COVID Vaccination- Smokers Prioritized in NJ,Jerryskidz,1
"Gen Xers don't want to hear it, but E-Sports will 100% be in the Olympics one day",Hardloper,0
I ran sub 1:30 HM how to get sub 3:00 marathon,Sub 3:00 marathon workouts,0
Is 10 x 40 seconds hills with 2 min rest a good aerobic workout or too much anaerobic ?,Chepte-GAY,0
The Official Jan Stensson / DANCAN system thread,Let him prove it,0
Mile TT Prediction,lmao hope im not found by my teammates,0
Herd immunity q and vaccine distribution,Renewed Marathoner,1
Wear a mask.,The Unkle,1
You have $250k to start a business...,Business owner wannabe,1
Runners and skiing,Help needed,0
2021 Virginia Showcase,FastTuohy,0
Down goes the Dow,Klondike5,1
Honest and optimistic picks for Tokyo?,TokyoIfItEverHappens,0
How is it everyone on this board says they make 250 thousand a year have big homes and a beautiful wife and run 15 flat 5ks,let's Run.Com boards,0
Naples Half Marathon Official Discussion Thread,holpin,0
Sam Parsons joins OAC,Bojack12,0
Katelyn Tuohy sighting!,TouYuber,0
Why is Galen Rupp so evasive on questions about his training?,jamin,0
Do carbon/nylon plates reduce risk of injury ?,Shoe Question,0
Brianna Rollins-McNeal - one of America's 4 track Olympic gold medalists in 2016 - is banned (again) for tampering,rojo,0
New Indoor Triple Jump WR - Hugues Fabrice Zango,Florida Boy,0
Morgan McDonald Doing Work...,Standard Setter,0
High mileage in budget shoes?,crisscrosscountry,0
Update on 6 Month Lydiard Style Base Training for a 17 Year Old,RunnerWithoutAnAerobicBase,0
How does Ritz only have 10K followers on Insta?,bartholomew_maxwell,0
Joe Rogan 5k time,Charles Bass,0
My sisters husband died today of a heart attack and l put a laughing face on Facebook by mistake help!!,everyone hates me,1
Any recent U.S. citizens?,your huddled masses,1
Does BTC have sprinters?,Skyline Eagles,0
The BEST part of being a coach is that you have free 24/7 access to training facilities,the430miler,0
"Harrisburg, PA tracks?",PA runner,0
Washington State XC Returning February 2nd,WA Runner Fan,0
Help! Are my max cushioned shoes causing injury,cushionator,0
Is Japan hiding coronavirus deaths? Where are the overwhelmed hospitals and mass graves?,jamin,1
Why in America William = Bill Richard = Dick ? Don't make sense 🦉,Fresh Pedro,1
NFL Playoffs picks,NFL Playoffss,1
Is lifting weights better?,ohhhh,0
New Balance beat Nike at scamming the New Shoe Rule,Track Spikes,0
!!! NewBalance FUELCELL MD-X !!! they break the shoe rules,BelgianT&Flover,0
focus on speed or endurance? freshman,confused what 2 do,0
Just how good are the new Nike and New Balance spikes?,reggojybboh,0
Controversial opinion: crispy pancakes are better than fluffy pancakes,breakfast boi,1
What are your NFL Playoff Predictions?,"No need to watch, this will happen",1
Post-Cancer Comeback,Sub-8 Mile,0
Sub 19 Minute 5K Training,md006,0
How to become the best 1500m runner,Flollruns,0
Ryan Hill to NAZ is a nothing Burger.,slow news day,0
WesFly is being held prisoner by the NCAA,WesFly CEO,0
2021 College Track & Field Open Coaching Positions Discussion,constanthail,0
"INSANE Morgan McDonald Workout (4xMile, 16x400)",@TheRunningEffect,0
Marathon pacers for hobby joggers,How come?,0
Trueform Trainer Treadmill opinions,camus,0
"Nice book excerpt from Running Periodization: Training Theories to Run Faster by Jason R. Karp, Ph.D.",rojo,0
2 things I learned from the RW feature on Mary Cain and Alexi Pappas 1) Salazar put Cain on a Greyhound bus to go to WJrs and,rojo,0
Would vaporflies work in slick weather.,bobbysiko,0
Explain how standardized tests are biased,they seem fair to me,1
Dear millennial men: please stop buying into the lie that you need to be more like a woman if you want to attract women,sharer of wisdom,1
Did you see today's epic track and field related Jeopardy fail? (video),rojo,0
What the hell. Dr. Fauci admits to the NY Times he's purposely misled us yet again about % needed to get to herd immunity,rojo,1
Predict my future times based on my 9th/10th grade PRs,Barely varsity 7,0
"39 former pro soccer legend, David Villa, runs 38:09 -10km in Madrid. Very impressive.",Ghost1,0
4:20/9:20 training paces?,pablomozart,0
Democrats have been inciting violence over the last 4 years,new video every day,1
The Athlete Special click bates people with his 4:37 last mile that was really a 5:30,athlete special,0
How important is the long run for a 5k and is 10 miles enough,5k in a month,0
The first man to break Steve Prefontaine’s American 5000m Record!,IPlayTrackFoundation,0
"Please help me think through a major life decision, moving to Denver from DC",xkcd1234,1
First Migrant Caravan Amasses at Border in Anticipation of Biden's Inauguration,bartholomew_maxwell,1
16-year-old Erriyon Knighton (20.33 200) turns pro with adidas,Jonathan Gault,0
Runners who are permanently injured,awesomeblossom,0
TJ - World indoor record,ldp205,0
Resource for meal prepping for endurance athletes,hemingway of 140 characters,0
What's the difference between Excited and Super-excited ?,TMADDDHASFNE,1
Capitol riot: something seems amiss,osullivan,1
Betsy Saina will make the USA Olympic marathon team in 2024,LTC banned me for life for posting running material,0
Kicking the last 400m of every run hard?,CopperRunner,0
Dennis Kimetto sighting!,sub sub elite local hobby jogger,0
Join Eddie Izzard as she runs 31 marathons in 31 days,Coevett,0
How many posters on the board from Edmonton?,Greg,1
